event,status,n_posterior_raw,n_posterior_dedup,n_posterior_prev,match_prev_N,n_removed,n_prior,kl_15D_bits,kl_15D_nats,prev_joint_mean_bits,prev_group_total_mean_bits,prev_marginal_1d_bits,delta_gauss_minus_joint_bits,error
GW150914_095045,ok,147634,71747,71747,True,75887,5000,41.2960724567831,28.62425619161842,39.6316590886569,38.90488487382637,36.8966538451319,1.6644133681261977,
GW191103_012549,ok,9914,9406,9406,True,508,5000,28.908438388687546,20.03780256350966,28.678,28.178,23.659,0.23043838868754563,
GW191105_143521,ok,65529,48384,48384,True,17145,5000,24.989552877021264,17.32143812016096,30.126,29.877,25.317,-5.136447122978737,
GW191109_010717,ok,109061,84720,84720,True,24341,5000,24.595524864559486,17.048318714261438,29.829,24.662,21.44,-5.233475135440514,
GW191113_071753,ok,52362,41205,41205,True,11157,5000,16.546287655591765,11.469012637207259,21.332,20.489,16.987,-4.7857123444082355,
GW191126_115259,ok,55315,40122,40122,True,15193,5000,20.650515973050453,14.313846923828036,23.554,23.415,19.365,-2.9034840269495454,
GW191127_050227,ok,27156,23766,23766,True,3390,5000,15.183203526265505,10.524194716098753,15.73,14.617,12.528,-0.5467964737344957,
GW191129_134029,ok,77231,46256,46256,True,30975,5000,29.325298390133124,20.326747898199876,33.358,32.3,26.9,-4.032701609866873,
GW191204_110529,ok,41745,33137,33137,True,8608,5000,15.116542024702197,10.477988484238255,18.814,17.848,14.414,-3.6974579752978034,
GW191204_171526,ok,128624,71011,71011,True,57613,5000,48.78291645734128,33.81374100189746,41.326,39.465,33.031,7.456916457341279,
GW191215_223052,ok,6913,6701,6701,True,212,5000,21.47124389982771,14.882732172280502,25.763,24.791,21.096,-4.291756100172293,
GW191216_213338,ok,249520,117971,117971,True,131549,5000,40.33321707270866,27.95685569686026,44.567,43.167,35.151,-4.233782927291337,
GW191219_163120,ok,14965,13941,13941,True,1024,5000,30.460547345328802,21.113642510727384,34.096,32.871,30.741,-3.6354526546711945,
GW191222_033537,ok,26560,22150,22150,True,4410,5000,15.127937328749201,10.48588710711006,18.363,17.926,15.116,-3.235062671250798,
GW191230_180458,ok,21752,18933,18933,True,2819,5000,12.587832875208695,8.725220866810696,16.752,16.312,14.302,-4.1641671247913035,
GW200112_155838,ok,68706,48508,48508,True,20198,5000,22.551147042246384,15.63126399072583,27.205,26.345,21.884,-4.653852957753614,
GW200128_022011,ok,26969,23016,23016,True,3953,5000,14.291059587026952,9.905807659961908,17.755,16.979,14.047,-3.463940412973047,
GW200129_065458,ok,87429,60394,60394,True,27035,5000,39.408810815353526,27.316106105882575,42.267,39.647,34.928,-2.858189184646477,
GW200202_154313,ok,126430,64263,64263,True,62167,5000,44.20977627101448,30.643881775439663,42.047,41.385,36.34,2.1627762710144864,
GW200208_130117,ok,38722,29665,29665,True,9057,5000,26.047735373497634,18.054914334111437,29.785,29.241,27.535,-3.737264626502366,
GW200208_222617,ok,24495,22914,22914,True,1581,5000,19.229341496366153,13.328763842230558,18.259,16.802,14.948,0.970341496366153,
GW200209_085452,ok,30588,25745,25745,True,4843,5000,16.48579815529977,11.427084510626381,18.608,18.039,15.507,-2.122201844700232,
GW200210_092254,ok,78491,52124,52124,True,26367,5000,20.39883053685779,14.139391873343094,27.746,25.538,20.91,-7.347169463142208,
GW200216_220804,ok,17943,15885,15885,True,2058,5000,11.418591166422777,7.914764272972644,13.743,13.16,10.767,-2.3244088335772233,
GW200219_094415,ok,28386,24614,24614,True,3772,5000,16.278739159446374,11.283562151441027,20.18,19.597,17.041,-3.9012608405536255,
GW200220_061928,ok,7327,6981,6981,True,346,5000,13.780557760452703,9.551954758201266,15.749,15.221,13.295,-1.9684422395472971,
GW200220_124850,ok,13497,12006,12006,True,1491,5000,14.59482524645131,10.116361970342833,16.079,15.699,13.159,-1.4841747535486913,
GW200224_222234,ok,88200,56300,56300,True,31900,5000,34.267932199862926,23.75272058795435,35.337,34.324,31.686,-1.069067800137077,
GW200225_060421,ok,88167,59014,59014,True,29153,5000,27.525624978802387,19.07930934720728,28.944,27.745,25.144,-1.4183750211976118,
GW200302_015811,ok,39475,32374,32374,True,7101,5000,15.274580041602247,10.58753209007381,18.897,18.188,14.493,-3.622419958397751,
GW200306_093714,ok,29333,24328,24328,True,5005,5000,17.289739410295105,11.984334124862224,18.6,17.935,14.58,-1.310260589704896,
GW200308_173609,ok,3341,3266,3266,True,75,5000,7.471745544086538,5.179019357744918,7.498,6.818,4.815,-0.026254455913462316,
GW200311_115853,ok,109150,60109,60109,True,49041,5000,37.59915750822189,26.061750018253303,36.759,36.003,33.348,0.8401575082218926,
GW200316_215756,ok,67196,46990,46990,True,20206,5000,26.095602513709288,18.088093307390615,33.063,31.494,27.316,-6.967397486290714,
GW200322_091133,ok,4140,4020,4020,True,120,5000,6.30788102854564,4.372289950243978,6.711,6.224,5.001,-0.4031189714543606,
