event,gauss15D_bits,prev_joint_mean_bits,prev_group_total_bits,prev_marginal_1d_bits,delta_gauss_minus_joint,n_posterior
GW191204_171526,49.43,41.326,39.465,33.031,8.104,128624
GW200202_154313,42.721,42.047,41.385,36.34,0.674,126430
GW150914_095045,41.247,39.6316590886569,38.90488487382637,36.8966538451319,1.615,147634
GW191216_213338,40.276,44.567,43.167,35.151,-4.291,249520
GW200129_065458,38.462,42.267,39.647,34.928,-3.805,87429
GW200311_115853,35.705,36.759,36.003,33.348,-1.054,109150
GW200224_222234,33.699,35.337,34.324,31.686,-1.638,88200
GW191219_163120,30.591,34.096,32.871,30.741,-3.505,14965
GW191129_134029,29.731,33.358,32.3,26.9,-3.627,77231
GW191103_012549,28.968,28.678,28.178,23.659,0.29,9914
GW200225_060421,27.544,28.944,27.745,25.144,-1.4,88167
GW200316_215756,26.663,33.063,31.494,27.316,-6.4,67196
GW200208_130117,26.346,29.785,29.241,27.535,-3.439,38722
GW191105_143521,25.142,30.126,29.877,25.317,-4.984,65529
GW191109_010717,24.654,29.829,24.662,21.44,-5.175,109061
GW200112_155838,22.527,27.205,26.345,21.884,-4.678,68706
GW191215_223052,21.481,25.763,24.791,21.096,-4.282,6913
GW191126_115259,20.839,23.554,23.415,19.365,-2.715,55315
GW200210_092254,20.747,27.746,25.538,20.91,-6.999,78491
GW200208_222617,19.337,18.259,16.802,14.948,1.078,24495
GW200306_093714,17.413,18.6,17.935,14.58,-1.187,29333
GW191113_071753,16.795,21.332,20.489,16.987,-4.537,52362
GW200209_085452,16.591,18.608,18.039,15.507,-2.017,30588
GW200219_094415,16.375,20.18,19.597,17.041,-3.805,28386
GW191204_110529,15.415,18.814,17.848,14.414,-3.399,41745
GW200302_015811,15.293,18.897,18.188,14.493,-3.604,39475
GW191127_050227,15.28,15.73,14.617,12.528,-0.45,27156
GW191222_033537,15.242,18.363,17.926,15.116,-3.121,26560
GW200220_124850,14.68,16.079,15.699,13.159,-1.399,13497
GW200128_022011,14.402,17.755,16.979,14.047,-3.353,26969
GW200220_061928,13.863,15.749,15.221,13.295,-1.886,7327
GW191230_180458,12.672,16.752,16.312,14.302,-4.08,21752
GW200216_220804,11.534,13.743,13.16,10.767,-2.209,17943
GW200308_173609,7.409,7.498,6.818,4.815,-0.089,3341
GW200322_091133,6.284,6.711,6.224,5.001,-0.427,4140
