event,file,n_posterior,n_prior,analysis_group,between_group_abs_corr,group_total_mean_bits,joint_mean_bits,marginal_1d_total_bits,tc_correction_nats,grp_total_kde_scott_bits,grp_total_kde_silverman_bits,grp_total_knn_k1_bits,joint_kde_scott_bits,joint_kde_silverman_bits,joint_knn_k1_bits,hybrid_analytic_params,status,error
GW191103_012549,IGWN-GWTC3p0-v2-GW191103_012549_PEDataRelease_mixed_cosmo.h5,9406,30000,C01:IMRPhenomXPHM,0.0373,28.178,28.678,23.659,0.346,27.279,27.407,29.849,27.779,27.906,30.348,"mass_1_source, mass_2_source, luminosity_distance",ok,
GW191105_143521,IGWN-GWTC3p0-v2-GW191105_143521_PEDataRelease_mixed_cosmo.h5,48384,30000,C01:IMRPhenomXPHM,0.0405,29.877,30.126,25.317,0.173,28.64,28.74,32.251,28.889,28.989,32.5,luminosity_distance,ok,
GW191109_010717,IGWN-GWTC3p0-v2-GW191109_010717_PEDataRelease_mixed_cosmo.h5,84720,30000,C01:IMRPhenomXPHM,0.1264,24.662,29.829,21.44,3.581,24.126,24.206,25.655,29.293,29.372,30.822,"mass_1_source, mass_2_source, luminosity_distance",ok,
GW191113_071753,IGWN-GWTC3p0-v2-GW191113_071753_PEDataRelease_mixed_cosmo.h5,41205,30000,C01:IMRPhenomXPHM,0.0946,20.489,21.332,16.987,0.584,20.006,20.079,21.382,20.849,20.922,22.225,luminosity_distance,ok,
GW191126_115259,IGWN-GWTC3p0-v2-GW191126_115259_PEDataRelease_mixed_cosmo.h5,40122,30000,C01:IMRPhenomXPHM,0.0286,23.415,23.554,19.365,0.096,22.532,22.614,25.1,22.671,22.752,25.239,luminosity_distance,ok,
GW191127_050227,IGWN-GWTC3p0-v2-GW191127_050227_PEDataRelease_mixed_cosmo.h5,23766,30000,C01:IMRPhenomXPHM,0.0787,14.617,15.73,12.528,0.772,13.942,14.008,15.901,15.055,15.121,17.014,luminosity_distance,ok,
GW191129_134029,IGWN-GWTC3p0-v2-GW191129_134029_PEDataRelease_mixed_cosmo.h5,46256,30000,C01:IMRPhenomXPHM,0.0571,32.3,33.358,26.9,0.733,30.987,31.118,34.794,32.045,32.175,35.852,"mass_1_source, mass_2_source, luminosity_distance",ok,
GW191204_110529,IGWN-GWTC3p0-v2-GW191204_110529_PEDataRelease_mixed_cosmo.h5,33137,30000,C01:IMRPhenomXPHM,0.0557,17.848,18.814,14.414,0.669,17.092,17.164,19.289,18.058,18.129,20.255,luminosity_distance,ok,
GW191204_171526,IGWN-GWTC3p0-v2-GW191204_171526_PEDataRelease_mixed_cosmo.h5,71011,30000,C01:IMRPhenomXPHM,0.0556,39.465,41.326,33.031,1.29,38.637,38.797,40.959,40.498,40.658,42.82,"mass_1_source, mass_2_source, luminosity_distance",ok,
GW191215_223052,IGWN-GWTC3p0-v2-GW191215_223052_PEDataRelease_mixed_cosmo.h5,6701,30000,C01:IMRPhenomXPHM,0.0503,24.791,25.763,21.096,0.674,23.499,23.625,27.248,24.471,24.598,28.221,,ok,
